item_no,item,inv_num,is_positive
1,I am the life of the party.,1,1
2,I feel little concern for others.,2,0
3,I am always prepared.,3,1
4,I get stressed out easily.,4,0
5,I have a rich vocabulary.,5,1
6,I don't talk a lot.,1,0
7,I am interested in people.,2,1
8,I leave my belongings around.,3,0
9,I am relaxed most of the time.,4,1
10,I have difficulty understanding abstract ideas.,5,0
11,I feel comfortable around people.,1,1
12,I insult people.,2,0
13,I pay attention to details.,3,1
14,I worry about things.,4,0
15,I have a vivid imagination.,5,1
16,I keep in the background.,1,0
17,I sympathize with others' feelings.,2,1
18,I make a mess of things.,3,0
19,I seldom feel blue.,4,1
20,I am not interested in abstract ideas.,5,0
21,I start conversations.,1,1
22,I am not interested in other people's problems.,2,0
23,I get chores done right away.,3,1
24,I am easily disturbed.,4,0
25,I have excellent ideas.,5,1
26,I have little to say.,1,0
27,I have a soft heart.,2,1
28,I often forget to put things back in their proper place.,3,0
29,I get upset easily.,4,0
30,I do not have a good imagination.,5,0
31,I talk to a lot of different people at parties.,1,1
32,I am not really interested in others.,2,0
33,I like order.,3,1
34,I change my mood a lot.,4,0
35,I am quick to understand things.,5,1
36,I don't like to draw attention to myself.,1,0
37,I take time out for others.,2,1
38,I shirk my duties.,3,0
39,I have frequent mood swings.,4,0
40,I use difficult words.,5,1
41,I don't mind being the center of attention.,1,1
42,I feel others' emotions.,2,1
43,I follow a schedule.,3,1
44,I get irritated easily.,4,0
45,I spend time reflecting on things.,5,1
46,I am quiet around strangers.,1,0
47,I make people feel at ease.,2,1
48,I am exacting in my work.,3,1
49,I often feel blue.,4,0
50,I am full of ideas.,5,1
